Database Name	ODA
Database Location	http://localhost/ODA/OdaService.asmx
Evaluation Signature	3269cfb3-0258-4c5f-89f4-11773f9276ac
Plate Name	616065245
Measurement	Measurement 1
Evaluation	Evaluation1

[Data]
Row	Column	Plane	Timepoint	All Cells - Number of Objects	All Cells - Non border cells - Mean per Well	Non border cells - Number of Objects	Non border cells - Total Spot Area - Mean per Well	Non border cells - Relative Spot Intensity - Mean per Well	Non border cells - Number of Spots - Mean per Well	Non border cells - Number of Spots per Area of Cell - Mean per Well	Spots Substrate - Number of Objects	Spots Substrate - Relative Spot Intensity - Mean per Well	Spots Substrate - Corrected Spot Intensity - Mean per Well	Spots Substrate - Uncorrected Spot Peak Intensity - Mean per Well	Spots Substrate - Spot Contrast - Mean per Well	Spots Substrate - Spot Background Intensity - Mean per Well	Spots Substrate - Spot Area [px²] - Mean per Well	Spots Substrate - Region Intensity - Mean per Well	Spots Substrate - Spot to Region Intensity - Mean per Well	Spots Substrate - Corrected Spot Intensity - StdDev per Well	Number of Analyzed Fields	Height [µm]	Time [s]	Temperature	Target Temperature	CO2	Target CO2	Compound	Concentration	Cell Type	Cell Count	
9	3	1	1	2431	0.915672562731	2226	774.791105121	0.560431177411	11.0085354897	0.00301594524951	24505	0.609245851107	1568.77759058	2685.58943073	0.535749773337	244.033821735	70.3809426648	1107.10198004	1.80404373611	5383.55423798	25	0	0	Below	37	InLimits	5					
10	3	1	1	2592	0.927854938272	2405	785.062370062	0.579411231582	9.70353430353	0.0028672082006	23337	0.61961915975	1619.88670441	2760.47911043	0.546897201571	242.791291181	80.9047863907	1118.44178764	1.76076368804	5350.10404037	25	0	0	Below	37	InLimits	5					
11	3	1	1	2418	0.923490488007	2233	758.622928795	0.544313051283	9.93999104344	0.00288329295271	22196	0.609019005702	1576.17805882	2675.31334475	0.535015333117	240.090728888	76.3202829339	1040.62277062	1.86644891389	5569.2291827	25	0	0	Below	37	InLimits	5					
12	3	1	1	2552	0.913401253918	2331	766.423852424	0.56934206425	9.12054912055	0.00269613609936	21260	0.614252069883	1632.03424324	2787.54125118	0.540456216672	247.48488448	84.0326434619	1109.97240435	1.79378419739	5296.2424292	25	0	0	Below	37	InLimits	5					
13	3	1	1	2426	0.910140148392	2208	796.61865942	0.553525787412	10.5348731884	0.00279505737248	23261	0.614050033611	1558.73259661	2671.09720132	0.540895315926	244.540478232	75.6172993422	1059.74640396	1.8472910845	5260.88150783	25	0	0	Below	37	InLimits	5					
14	3	1	1	2445	0.919836400818	2249	765.133837261	0.528782983114	10.8612716763	0.0030415041289	24427	0.615962142483	1654.74618591	2803.49723666	0.54392009029	246.856469767	70.4460637819	1065.79090046	1.9068066251	5626.02544082	25	0	0	Below	37	InLimits	5					
15	3	1	1	2868	0.923291492329	2648	728.450906344	0.507855777729	10.0139728097	0.00319948179359	26517	0.613672909142	1547.16046751	2653.4163744	0.542243754456	244.978453222	72.7434475997	988.449188851	1.98590134452	5353.19796939	25	0	0	Below	37	InLimits	5					
15	4	1	1	2525	0.928316831683	2344	716.445819113	0.50371017713	9.22056313993	0.00292219914375	21613	0.615111658116	1512.58568626	2576.80497849	0.541598326209	237.77508695	77.7008744737	933.212686455	1.98917814805	5372.57612417	25	0	0	Below	37	InLimits	5					
14	4	1	1	2409	0.922374429224	2222	745.769126913	0.537331663534	10.4576957696	0.00284374154691	23237	0.613865627561	1576.49352005	2686.31058226	0.541002112581	238.941895801	71.3129491759	1026.73140519	1.90319184149	5474.45819759	25	0	0	Below	37	InLimits	5					
13	4	1	1	2671	0.913141145638	2439	814.292332923	0.565050782378	11.0446904469	0.00299148279729	26938	0.619166571293	1739.43615025	2944.29768357	0.547730526404	251.54553712	73.7270398693	1227.69669948	1.79972644691	5636.25074989	25	0	0	Below	37	InLimits	5					
