Database Name	ODA
Database Location	http://localhost/ODA/OdaService.asmx
Evaluation Signature	5c70e1c6-19e4-48a5-967a-57d2a5f3f9a7
Plate Name	490423695
Measurement	Measurement 3
Evaluation	Evaluation1

[Data]
Row	Column	Plane	Timepoint	All Cells - Number of Objects	All Cells - Non border cells - Mean per Well	Non border cells - Number of Objects	Non border cells - Total Spot Area - Mean per Well	Non border cells - Relative Spot Intensity - Mean per Well	Non border cells - Number of Spots - Mean per Well	Non border cells - Number of Spots per Area of Cell - Mean per Well	Spots Substrate - Number of Objects	Spots Substrate - Relative Spot Intensity - Mean per Well	Spots Substrate - Corrected Spot Intensity - Mean per Well	Spots Substrate - Uncorrected Spot Peak Intensity - Mean per Well	Spots Substrate - Spot Contrast - Mean per Well	Spots Substrate - Spot Background Intensity - Mean per Well	Spots Substrate - Spot Area [px²] - Mean per Well	Spots Substrate - Region Intensity - Mean per Well	Spots Substrate - Spot to Region Intensity - Mean per Well	Spots Substrate - Corrected Spot Intensity - StdDev per Well	Number of Analyzed Fields	Height [µm]	Time [s]	Temperature	Target Temperature	CO2	Target CO2	Compound	Concentration	Cell Type	Cell Count	
2	4	1	1	2404	0.921381031614	2215	751.890744921	0.510461443227	7.73769751693	0.00234044960147	17139	0.612735854547	1683.16733929	2917.14493261	0.54164699519	250.195197005	97.1724137931	1017.81219253	2.04971201601	5355.36316278	25	0	0	InLimits	37	InLimits	5					
2	5	1	1	2313	0.923476005188	2136	663.543539326	0.486436137884	7.54119850187	0.00240705428068	16108	0.611832030606	1553.83848661	2689.25496648	0.538602798325	240.075464056	87.9891358331	904.399834226	2.0872838966	5149.3171263	25	0	0	InLimits	37	InLimits	5					
3	5	1	1	2181	0.923888124713	2015	723.466997519	0.563449423106	7.24069478908	0.00219786569355	14590	0.614938383325	1539.3880173	2693.9861549	0.54266566728	247.927451755	99.9167923235	1087.93482252	1.74958379642	4783.73567057	25	0	0	InLimits	37	InLimits	5					
4	5	1	1	1708	0.920960187354	1573	693.446280992	0.566428307487	7.53973299428	0.00231042599383	11860	0.624923625356	1717.60861593	2974.38043845	0.553458475225	240.263172482	91.9722596965	1086.27242439	1.93074705402	5223.29183237	25	0	0	InLimits	37	InLimits	5					
5	5	1	1	2201	0.917310313494	2019	714.072313026	0.567469067072	7.54631005448	0.00236194158773	15236	0.6196261317	1589.07385784	2757.22315568	0.547582412283	241.553554883	94.6253609871	1097.16653051	1.81207468238	4966.77557271	25	0	0	InLimits	37	InLimits	5					
6	5	1	1	2119	0.910335063709	1929	772.813893209	0.573049484919	9.09538621047	0.0025462509497	17545	0.627469683456	1726.17294639	2950.59156455	0.557143864275	243.829228071	84.9676831006	1130.25930994	1.83220680385	5411.71271552	25	0	0	InLimits	37	InLimits	5					
7	5	1	1	2368	0.919341216216	2177	753.123105191	0.588104819709	8.3468075333	0.00261999536927	18171	0.626193308915	1799.57318524	3088.2492433	0.555766526608	257.453646107	90.2288811843	1257.07201638	1.74551162525	5319.13651361	25	0	0	InLimits	37	InLimits	5					
8	5	1	1	2318	0.91846419327	2129	781.698919681	0.558151201815	8.61719116956	0.00240141394433	18346	0.618941314169	1634.7031953	2798.27722664	0.547314788499	244.660878754	90.7138885861	1166.60652694	1.76878048995	5319.06351531	25	0	0	InLimits	37	InLimits	5					
9	5	1	1	2338	0.924721984602	2162	755.294172063	0.559891454093	8.19842738205	0.00236796619426	17725	0.617182267981	1655.32078225	2859.24874471	0.546042033459	253.167323332	92.1267136812	1226.07765103	1.72072044726	5244.41007153	25	0	0	InLimits	37	InLimits	5					
10	5	1	1	2086	0.920901246405	1921	769.661114003	0.578412253362	8.30088495575	0.00230425961681	15946	0.617338675013	1633.30610252	2835.0231406	0.545687331372	250.621247241	92.7203687445	1167.10944343	1.73193487233	4960.28222697	25	0	0	InLimits	37	InLimits	5					
